time,success_rate
13:18:01,1.0
13:18:04,0.5
13:18:10,0.33
13:18:10,0.25
13:18:10,0.2
13:18:11,0.17
13:18:15,0.14
13:18:16,0.12
13:18:16,0.11
13:18:16,0.1
13:18:21,0.18
13:18:27,0.17
13:18:32,0.15
13:18:32,0.14
13:18:33,0.13
13:18:33,0.12
13:18:39,0.12
13:18:39,0.11
13:18:39,0.11
13:18:40,0.1
13:18:42,0.14
13:18:46,0.14
13:18:54,0.13
13:18:54,0.12
13:18:55,0.12
13:18:55,0.12
13:19:00,0.11
13:19:00,0.11
13:19:00,0.1
13:19:01,0.1
13:19:06,0.1
13:19:07,0.09
13:19:07,0.09
13:19:07,0.09
13:19:13,0.11
13:19:15,0.14
13:19:18,0.14
13:19:20,0.13
13:19:21,0.13
13:19:21,0.12
13:19:21,0.12
13:19:22,0.14
13:19:22,0.16
13:19:25,0.18
13:19:27,0.2
13:19:30,0.2
13:19:31,0.21
13:19:34,0.23
13:19:36,0.22
13:19:38,0.22
13:19:38,0.22
13:19:39,0.21
13:19:39,0.21
13:19:43,0.22
13:19:46,0.22
13:19:50,0.21
13:19:50,0.21
13:19:50,0.21
13:19:51,0.2
13:19:56,0.2
13:19:57,0.2
13:19:57,0.19
13:19:57,0.19
13:20:03,0.19
13:20:03,0.18
13:20:03,0.18
13:20:04,0.18
13:20:04,0.19
13:20:06,0.19
13:20:12,0.19
13:20:12,0.18
13:20:12,0.18
13:20:12,0.18
13:20:14,0.19
13:20:19,0.2
13:20:21,0.2
13:20:23,0.19
13:20:24,0.19
13:20:24,0.19
13:20:24,0.19
13:20:28,0.2
13:20:31,0.2
13:20:33,0.19
13:20:33,0.19
13:20:34,0.19
13:20:34,0.19
13:20:38,0.18
13:20:38,0.18
13:20:39,0.18
13:20:39,0.18
13:20:40,0.19
13:20:41,0.2
13:20:41,0.2
13:20:43,0.2
13:20:46,0.2
13:20:46,0.2
13:20:46,0.2
13:20:47,0.19
13:20:52,0.19
13:20:52,0.19
13:20:52,0.19
13:20:53,0.19
13:20:54,0.19
13:20:58,0.2
13:21:04,0.2
13:21:07,0.2
13:21:07,0.2
13:21:07,0.19
13:21:08,0.19
13:21:10,0.19
13:21:10,0.19
13:21:10,0.19
13:21:11,0.19
13:21:16,0.18
13:21:16,0.18
13:21:17,0.18
13:21:17,0.18
13:21:19,0.18
13:21:20,0.18
13:21:20,0.17
13:21:20,0.17
13:21:23,0.17
13:21:23,0.17
13:21:23,0.17
13:21:24,0.17
13:21:26,0.17
13:21:26,0.17
13:21:26,0.16
13:21:27,0.16
13:21:29,0.17
13:21:34,0.17
13:21:40,0.17
13:21:41,0.17
13:21:41,0.16
13:21:41,0.16
13:21:42,0.17
13:21:45,0.17
13:21:46,0.17
13:21:46,0.18
13:21:47,0.19
13:21:52,0.19
13:21:53,0.2
13:21:55,0.2
13:21:59,0.2
13:22:01,0.2
13:22:01,0.2
13:22:02,0.2
13:22:02,0.2
13:22:02,0.2
13:22:06,0.21
13:22:06,0.21
13:22:12,0.22
13:22:14,0.22
13:22:19,0.21
13:22:19,0.21
13:22:19,0.21
13:22:19,0.21
13:22:20,0.22
13:22:24,0.22
13:22:31,0.22
13:22:33,0.22
13:22:33,0.22
13:22:34,0.21
13:22:34,0.21
13:22:36,0.21
13:22:37,0.21
13:22:37,0.21
13:22:37,0.21
13:22:44,0.21
13:22:44,0.21
13:22:44,0.2
13:22:44,0.2
13:22:48,0.2
13:22:49,0.2
13:22:49,0.2
